Query Vector, Matched Vector, Similarity
0, 0, 1.0000
0, 573456, 0.8463
0, 781024, 0.8403
1, 1, 1.0000
2, 2, 1.0000
3, 3, 1.0000
4, 4, 1.0000
5, 5, 1.0000
6, 6, 1.0000
6, 856438, 0.8480
6, 221593, 0.8424
6, 365995, 0.8410
6, 309968, 0.8409
6, 430595, 0.8407
7, 7, 1.0000
8, 8, 1.0000
8, 994390, 0.8407
8, 659848, 0.8402
8, 510308, 0.8402
9, 9, 1.0000
10, 10, 1.0000
11, 11, 1.0000
11, 44184, 0.8508
11, 92577, 0.8450
12, 12, 1.0000
13, 13, 1.0000
14, 14, 1.0000
15, 15, 1.0000
16, 16, 1.0000
17, 17, 1.0000
17, 240578, 0.8428
18, 18, 1.0000
19, 19, 1.0000
20, 20, 1.0000
21, 21, 1.0000
21, 78541, 0.8446
22, 22, 1.0000
23, 23, 1.0000
23, 966706, 0.8425
24, 24, 1.0000
25, 25, 1.0000
26, 26, 1.0000
27, 27, 1.0000
28, 28, 1.0000
29, 29, 1.0000
30, 30, 1.0000
30, 629670, 0.8462
30, 930887, 0.8447
30, 763978, 0.8440
30, 891646, 0.8427
30, 467986, 0.8423
30, 845778, 0.8420
30, 701190, 0.8416
30, 507920, 0.8405
30, 780827, 0.8402
31, 31, 1.0000
32, 32, 1.0000
32, 162923, 0.8504
32, 89021, 0.8462
32, 582427, 0.8459
32, 611680, 0.8426
32, 244347, 0.8423
32, 160690, 0.8411
33, 33, 1.0000
34, 34, 1.0000
35, 35, 1.0000
35, 475887, 0.8410
36, 36, 1.0000
37, 37, 1.0000
38, 38, 1.0000
39, 39, 1.0000
40, 40, 1.0000
41, 41, 1.0000
42, 42, 1.0000
43, 43, 1.0000
44, 44, 1.0000
44, 374257, 0.8404
45, 45, 1.0000
45, 157976, 0.8468
45, 327814, 0.8460
45, 133412, 0.8417
45, 286950, 0.8407
45, 798494, 0.8401
45, 159317, 0.8400
46, 46, 1.0000
47, 47, 1.0000
48, 48, 1.0000
49, 49, 1.0000
50, 50, 1.0000
50, 797294, 0.8459
50, 497602, 0.8403
50, 391139, 0.8401
51, 51, 1.0000
52, 52, 1.0000
53, 53, 1.0000
54, 54, 1.0000
55, 55, 1.0000
56, 56, 1.0000
57, 57, 1.0000
57, 664466, 0.8408
57, 251474, 0.8401
58, 58, 1.0000
59, 59, 1.0000
59, 542557, 0.8461
59, 344390, 0.8413
60, 60, 1.0000
60, 762967, 0.8444
60, 976931, 0.8427
60, 873257, 0.8403
61, 61, 1.0000
61, 327138, 0.8435
62, 62, 1.0000
63, 63, 1.0000
63, 744946, 0.8491
63, 742820, 0.8467
63, 752129, 0.8458
63, 301262, 0.8451
63, 321057, 0.8423
63, 508196, 0.8417
63, 833301, 0.8414
63, 675469, 0.8414
63, 352083, 0.8412
63, 634822, 0.8411
63, 103100, 0.8409
63, 169001, 0.8409
63, 626276, 0.8402
63, 114132, 0.8400
64, 64, 1.0000
65, 65, 1.0000
66, 66, 1.0000
67, 67, 1.0000
68, 68, 1.0000
69, 69, 1.0000
70, 70, 1.0000
71, 71, 1.0000
72, 72, 1.0000
73, 73, 1.0000
73, 688003, 0.8472
74, 74, 1.0000
75, 75, 1.0000
75, 368042, 0.8484
75, 698853, 0.8475
75, 33765, 0.8463
75, 420486, 0.8462
75, 315656, 0.8458
75, 920981, 0.8454
75, 919947, 0.8450
75, 241621, 0.8443
75, 249891, 0.8439
75, 526212, 0.8438
75, 476280, 0.8435
75, 963938, 0.8434
75, 983136, 0.8432
75, 883279, 0.8425
75, 295762, 0.8423
75, 943562, 0.8421
75, 183081, 0.8420
75, 450463, 0.8419
75, 597738, 0.8413
75, 276077, 0.8412
75, 552881, 0.8412
75, 38836, 0.8409
75, 530673, 0.8409
75, 782389, 0.8409
75, 99578, 0.8407
75, 572958, 0.8406
75, 933758, 0.8404
75, 702961, 0.8404
75, 879599, 0.8403
75, 398902, 0.8403
75, 972329, 0.8403
75, 616349, 0.8403
75, 726804, 0.8402
75, 716797, 0.8401
76, 76, 1.0000
77, 77, 1.0000
78, 78, 1.0000
79, 79, 1.0000
80, 80, 1.0000
81, 81, 1.0000
81, 180104, 0.8451
82, 82, 1.0000
83, 83, 1.0000
84, 84, 1.0000
84, 877267, 0.8502
84, 908993, 0.8476
84, 703317, 0.8474
84, 271475, 0.8472
84, 280684, 0.8467
84, 416700, 0.8453
84, 198619, 0.8453
84, 939956, 0.8446
84, 719158, 0.8443
84, 364612, 0.8437
84, 735298, 0.8434
84, 240554, 0.8431
84, 677578, 0.8430
84, 700034, 0.8426
84, 510928, 0.8424
84, 431153, 0.8422
84, 575217, 0.8421
84, 560401, 0.8420
84, 33867, 0.8419
84, 675551, 0.8417
84, 530208, 0.8416
84, 550065, 0.8413
84, 617746, 0.8413
84, 275022, 0.8412
84, 990498, 0.8411
84, 954844, 0.8409
84, 288415, 0.8406
84, 494105, 0.8406
84, 765770, 0.8404
84, 65623, 0.8404
84, 358349, 0.8404
84, 860884, 0.8404
84, 221152, 0.8403
84, 821215, 0.8403
84, 215643, 0.8402
84, 740399, 0.8401
85, 85, 1.0000
86, 86, 1.0000
87, 87, 1.0000
88, 88, 1.0000
88, 135009, 0.8481
88, 981561, 0.8419
88, 228461, 0.8409
89, 89, 1.0000
90, 90, 1.0000
91, 91, 1.0000
91, 457402, 0.8460
91, 858407, 0.8409
92, 92, 1.0000
93, 93, 1.0000
94, 94, 1.0000
95, 95, 1.0000
96, 96, 1.0000
96, 682205, 0.8432
97, 97, 1.0000
98, 98, 1.0000
99, 99, 1.0000
100, 100, 1.0000
101, 101, 1.0000
102, 102, 1.0000
103, 103, 1.0000
104, 104, 1.0000
105, 105, 1.0000
106, 106, 1.0000
107, 107, 1.0000
108, 108, 1.0000
108, 554013, 0.8419
109, 109, 1.0000
109, 949318, 0.8425
110, 110, 1.0000
110, 177472, 0.8474
110, 114190, 0.8457
110, 650380, 0.8446
110, 433049, 0.8428
110, 794708, 0.8428
110, 34686, 0.8428
110, 914463, 0.8427
110, 153600, 0.8421
110, 655884, 0.8416
110, 347873, 0.8412
110, 294912, 0.8407
110, 143866, 0.8405
110, 449714, 0.8403
111, 111, 1.0000
112, 112, 1.0000
113, 113, 1.0000
114, 114, 1.0000
115, 115, 1.0000
115, 82719, 0.8429
116, 116, 1.0000
117, 117, 1.0000
117, 908358, 0.8466
117, 445639, 0.8401
118, 118, 1.0000
119, 119, 1.0000
120, 120, 1.0000
120, 702021, 0.8455
120, 147090, 0.8409
121, 121, 1.0000
121, 730525, 0.8424
121, 780668, 0.8407
121, 966651, 0.8401
122, 122, 1.0000
123, 123, 1.0000
124, 124, 1.0000
124, 633451, 0.8406
125, 125, 1.0000
126, 126, 1.0000
126, 929625, 0.8421
127, 127, 1.0000
127, 156681, 0.8447
128, 128, 1.0000
129, 129, 1.0000
130, 130, 1.0000
130, 620246, 0.8457
130, 536269, 0.8441
130, 110743, 0.8434
130, 939665, 0.8420
130, 555977, 0.8414
130, 589372, 0.8405
130, 759412, 0.8404
131, 131, 1.0000
131, 374028, 0.8437
132, 132, 1.0000
133, 133, 1.0000
134, 134, 1.0000
134, 815269, 0.8421
134, 360896, 0.8413
135, 135, 1.0000
135, 595223, 0.8413
135, 427395, 0.8403
136, 136, 1.0000
137, 137, 1.0000
138, 138, 1.0000
139, 139, 1.0000
140, 140, 1.0000
141, 141, 1.0000
141, 176189, 0.8474
141, 219965, 0.8433
141, 567521, 0.8423
141, 276247, 0.8413
141, 306205, 0.8412
141, 232849, 0.8402
142, 142, 1.0000
142, 938964, 0.8476
142, 191823, 0.8458
142, 73291, 0.8446
142, 414247, 0.8432
142, 604351, 0.8414
142, 723380, 0.8412
142, 843023, 0.8408
142, 133241, 0.8406
142, 470067, 0.8403
143, 143, 1.0000
144, 144, 1.0000
144, 19469, 0.8402
145, 145, 1.0000
146, 146, 1.0000
147, 147, 1.0000
148, 148, 1.0000
149, 149, 1.0000
150, 150, 1.0000
151, 151, 1.0000
152, 152, 1.0000
153, 153, 1.0000
154, 154, 1.0000
154, 141404, 0.8437
155, 155, 1.0000
155, 850184, 0.8404
156, 156, 1.0000
157, 157, 1.0000
157, 952912, 0.8445
157, 524465, 0.8405
157, 107462, 0.8400
158, 158, 1.0000
159, 159, 1.0000
160, 160, 1.0000
161, 161, 1.0000
162, 162, 1.0000
162, 127555, 0.8410
163, 163, 1.0000
164, 164, 1.0000
164, 135224, 0.8483
164, 874106, 0.8409
164, 333531, 0.8400
165, 165, 1.0000
166, 166, 1.0000
167, 167, 1.0000
168, 168, 1.0000
169, 169, 1.0000
170, 170, 1.0000
171, 171, 1.0000
171, 327494, 0.8473
172, 172, 1.0000
173, 173, 1.0000
173, 819713, 0.8444
174, 174, 1.0000
175, 175, 1.0000
176, 176, 1.0000
177, 177, 1.0000
177, 92158, 0.8449
177, 994390, 0.8428
178, 178, 1.0000
179, 179, 1.0000
179, 78661, 0.8413
180, 180, 1.0000
180, 46079, 0.8438
180, 104935, 0.8403
181, 181, 1.0000
181, 887762, 0.8527
181, 893299, 0.8518
181, 889769, 0.8490
181, 397696, 0.8489
181, 33867, 0.8486
181, 852808, 0.8485
181, 251790, 0.8477
181, 358296, 0.8466
181, 571672, 0.8465
181, 713143, 0.8464
181, 743667, 0.8463
181, 779629, 0.8463
181, 120217, 0.8454
181, 787892, 0.8452
181, 746621, 0.8445
181, 839286, 0.8442
181, 433076, 0.8440
181, 253441, 0.8436
181, 907353, 0.8435
181, 651511, 0.8433
181, 173351, 0.8433
181, 24254, 0.8432
181, 652386, 0.8431
181, 974657, 0.8429
181, 219689, 0.8428
181, 211367, 0.8428
181, 817062, 0.8427
181, 945489, 0.8426
181, 389697, 0.8424
181, 763521, 0.8423
181, 520250, 0.8423
181, 452280, 0.8422
181, 980064, 0.8421
181, 23065, 0.8420
181, 866807, 0.8420
181, 697681, 0.8419
181, 461882, 0.8419
181, 220978, 0.8417
181, 662550, 0.8417
181, 150294, 0.8416
181, 723438, 0.8415
181, 86848, 0.8415
181, 722752, 0.8415
181, 840096, 0.8413
181, 850395, 0.8412
181, 635768, 0.8412
181, 325229, 0.8411
181, 432613, 0.8411
181, 896944, 0.8410
181, 864144, 0.8410
181, 607015, 0.8410
181, 542621, 0.8409
181, 114132, 0.8407
181, 912310, 0.8407
181, 634215, 0.8406
181, 196375, 0.8405
181, 429129, 0.8403
181, 337968, 0.8403
181, 50540, 0.8403
181, 425226, 0.8402
181, 288454, 0.8402
181, 209502, 0.8402
181, 446752, 0.8402
181, 264685, 0.8401
181, 277137, 0.8401
181, 744972, 0.8401
181, 727546, 0.8401
181, 959322, 0.8401
181, 131704, 0.8400
181, 689409, 0.8400
181, 207706, 0.8400
182, 182, 1.0000
183, 183, 1.0000
184, 184, 1.0000
184, 694531, 0.8444
184, 163750, 0.8420
184, 995735, 0.8410
185, 185, 1.0000
186, 186, 1.0000
187, 187, 1.0000
187, 452819, 0.8477
187, 922929, 0.8469
187, 779066, 0.8466
187, 436142, 0.8447
187, 755561, 0.8444
187, 930674, 0.8432
187, 328747, 0.8429
187, 874324, 0.8426
187, 599920, 0.8422
187, 78661, 0.8416
187, 394492, 0.8413
187, 961138, 0.8406
187, 209329, 0.8406
187, 217853, 0.8404
188, 188, 1.0000
189, 189, 1.0000
190, 190, 1.0000
190, 431791, 0.8519
191, 191, 1.0000
192, 192, 1.0000
192, 220607, 0.8423
193, 193, 1.0000
193, 798161, 0.8426
194, 194, 1.0000
195, 195, 1.0000
196, 196, 1.0000
196, 285353, 0.8439
197, 197, 1.0000
198, 198, 1.0000
199, 199, 1.0000
200, 200, 1.0000
201, 201, 1.0000
202, 202, 1.0000
203, 203, 1.0000
204, 204, 1.0000
205, 205, 1.0000
206, 206, 1.0000
206, 995890, 0.8483
206, 485287, 0.8418
206, 730435, 0.8416
206, 308517, 0.8404
207, 207, 1.0000
208, 208, 1.0000
209, 209, 1.0000
210, 210, 1.0000
211, 211, 1.0000
212, 212, 1.0000
213, 213, 1.0000
214, 214, 1.0000
215, 215, 1.0000
216, 216, 1.0000
217, 217, 1.0000
218, 218, 1.0000
218, 436311, 0.8488
218, 565748, 0.8482
218, 63282, 0.8478
218, 710510, 0.8457
218, 147965, 0.8453
218, 571613, 0.8445
218, 719610, 0.8444
218, 732233, 0.8443
218, 637430, 0.8441
218, 974381, 0.8440
218, 200853, 0.8432
218, 57060, 0.8432
218, 948692, 0.8432
218, 597631, 0.8429
218, 110477, 0.8427
218, 349644, 0.8424
218, 246747, 0.8421
218, 930246, 0.8421
218, 255705, 0.8417
218, 721886, 0.8417
218, 512225, 0.8417
218, 713168, 0.8416
218, 323989, 0.8410
218, 293672, 0.8410
218, 444605, 0.8407
218, 7047, 0.8406
218, 323894, 0.8406
218, 772265, 0.8406
218, 778366, 0.8405
218, 847620, 0.8404
218, 416691, 0.8404
218, 34279, 0.8404
218, 303394, 0.8403
218, 746464, 0.8402
218, 782389, 0.8402
218, 753618, 0.8402
218, 580431, 0.8401
218, 668719, 0.8400
219, 219, 1.0000
220, 220, 1.0000
221, 221, 1.0000
222, 222, 1.0000
223, 223, 1.0000
223, 275357, 0.8428
224, 224, 1.0000
224, 354593, 0.8406
225, 225, 1.0000
226, 226, 1.0000
227, 227, 1.0000
228, 228, 1.0000
229, 229, 1.0000
230, 230, 1.0000
230, 501687, 0.8429
230, 747772, 0.8420
230, 979370, 0.8413
230, 670396, 0.8413
230, 823539, 0.8409
230, 424278, 0.8407
230, 389111, 0.8407
230, 644625, 0.8403
230, 516064, 0.8403
231, 231, 1.0000
232, 232, 1.0000
233, 233, 1.0000
234, 234, 1.0000
235, 235, 1.0000
235, 31803, 0.8410
235, 239038, 0.8402
236, 236, 1.0000
237, 237, 1.0000
237, 504389, 0.8439
237, 176873, 0.8431
237, 659808, 0.8426
237, 384411, 0.8422
237, 607718, 0.8417
237, 403197, 0.8403
237, 984768, 0.8401
238, 238, 1.0000
238, 443249, 0.8521
238, 62116, 0.8491
238, 670915, 0.8482
238, 985947, 0.8471
238, 321252, 0.8466
238, 144707, 0.8453
238, 989805, 0.8450
238, 80347, 0.8445
238, 167354, 0.8443
238, 255809, 0.8438
